symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_indicator,criteria_long_window,criteria_short_window,criteria_strategy
1413.TW,宏洲,2026-02-11,1,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1417.TW,嘉裕,2026-02-11,2,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1423.TW,利華,2026-02-11,3,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1310.TW,台苯,2026-02-11,4,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1233.TW,天仁,2026-02-11,5,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1256.TW,鮮活果汁-KY,2026-02-11,6,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1259.TWO,安心,2026-02-11,7,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1268.TWO,漢來美食,2026-02-11,8,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
1726.TW,永記,2026-02-11,9,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2204.TW,中華,2026-02-11,10,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2208.TW,台船,2026-02-11,11,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2382.TW,廣達,2026-02-11,12,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2406.TW,國碩,2026-02-11,13,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2414.TW,精技,2026-02-11,14,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2357.TW,華碩,2026-02-11,15,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2719.TWO,燦星旅,2026-02-11,16,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2736.TWO,富野,2026-02-11,17,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2753.TW,八方雲集,2026-02-11,18,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2460.TW,建通,2026-02-11,19,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2702.TW,華園,2026-02-11,20,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2706.TW,第一店,2026-02-11,21,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2539.TW,櫻花建,2026-02-11,22,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2542.TW,興富發,2026-02-11,23,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2886.TW,兆豐金,2026-02-11,24,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2892.TW,第一金,2026-02-11,25,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2915.TW,潤泰全,2026-02-11,26,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2940.TWO,歐都納,2026-02-11,27,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
2948.TWO,寶陞,2026-02-11,28,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
3499.TWO,環天科,2026-02-11,29,0.03333333333333333,buy,buy,1.0,True,ma_crossover,20,5,PullbackTrend120dOptimizedStrategy
