symbol,stock_name,selection_date,entry_date,entry_close,target_date,evaluation_date,evaluation_close,return_pct,holding_period_label,selected,rank,weight,status
1413.TW,宏洲,2026-02-11,2026-02-11,10.050000190734863,2026-03-11,2026-03-11,9.729999542236328,-0.031841,1m,True,1,0.03333333333333333,ok
1417.TW,嘉裕,2026-02-11,2026-02-11,8.8100004196167,2026-03-11,2026-03-11,8.619999885559082,-0.021566,1m,True,2,0.03333333333333333,ok
1423.TW,利華,2026-02-11,2026-02-11,38.29999923706055,2026-03-11,2026-03-11,41.150001525878906,0.074413,1m,True,3,0.03333333333333333,ok
1310.TW,台苯,2026-02-11,2026-02-11,9.010000228881836,2026-03-11,2026-03-11,11.300000190734863,0.254162,1m,True,4,0.03333333333333333,ok
1233.TW,天仁,2026-02-11,,,2026-03-11,,,,1m,True,5,0.03333333333333333,missing_entry_price|missing_evaluation_price
1256.TW,鮮活果汁-KY,2026-02-11,2026-02-11,159.5,2026-03-11,2026-03-11,171.0,0.0721,1m,True,6,0.03333333333333333,ok
1259.TWO,安心,2026-02-11,2026-02-11,62.0,2026-03-11,2026-03-11,63.0,0.016129,1m,True,7,0.03333333333333333,ok
1268.TWO,漢來美食,2026-02-11,2026-02-11,161.0,2026-03-11,2026-03-11,159.0,-0.012422,1m,True,8,0.03333333333333333,ok
1726.TW,永記,2026-02-11,2026-02-11,76.5,2026-03-11,2026-03-11,76.30000305175781,-0.002614,1m,True,9,0.03333333333333333,ok
2204.TW,中華,2026-02-11,2026-02-11,59.29999923706055,2026-03-11,2026-03-11,56.79999923706055,-0.042159,1m,True,10,0.03333333333333333,ok
2208.TW,台船,2026-02-11,2026-02-11,23.5,2026-03-11,2026-03-11,21.350000381469727,-0.091489,1m,True,11,0.03333333333333333,ok
2382.TW,廣達,2026-02-11,2026-02-11,286.0,2026-03-11,2026-03-11,289.0,0.01049,1m,True,12,0.03333333333333333,ok
2406.TW,國碩,2026-02-11,2026-02-11,29.549999237060547,2026-03-11,2026-03-11,34.150001525878906,0.155668,1m,True,13,0.03333333333333333,ok
2414.TW,精技,2026-02-11,2026-02-11,41.79999923706055,2026-03-11,2026-03-11,43.400001525878906,0.038278,1m,True,14,0.03333333333333333,ok
2357.TW,華碩,2026-02-11,2026-02-11,523.0,2026-03-11,2026-03-11,584.0,0.116635,1m,True,15,0.03333333333333333,ok
2719.TWO,燦星旅,2026-02-11,2026-02-11,28.350000381469727,2026-03-11,2026-03-11,26.350000381469727,-0.070547,1m,True,16,0.03333333333333333,ok
2736.TWO,富野,2026-02-11,2026-02-11,13.899999618530273,2026-03-11,2026-03-11,13.0,-0.064748,1m,True,17,0.03333333333333333,ok
2753.TW,八方雲集,2026-02-11,2026-02-11,184.0,2026-03-11,2026-03-11,193.0,0.048913,1m,True,18,0.03333333333333333,ok
2460.TW,建通,2026-02-11,2026-02-11,26.350000381469727,2026-03-11,2026-03-11,23.850000381469727,-0.094877,1m,True,19,0.03333333333333333,ok
