symbol,stock_name,timestamp,rank,weight,reason,signal,score,selected,criteria_check_sig_anchor_close_gt_ma_20,criteria_check_sig_anchor_close_pos,criteria_check_sig_anchor_close_vs_ma60,criteria_check_sig_anchor_macd_histogram,criteria_check_sig_anchor_net_flow,criteria_check_sig_anchor_rsi_14,criteria_check_sig_anchor_volume_ratio_20,criteria_check_sig_anchor_volume_ratio_5,criteria_check_sig_explosive_close_gt_ma_20,criteria_check_sig_explosive_close_pos,criteria_check_sig_explosive_net_flow,criteria_check_sig_explosive_price_change_pct,criteria_check_sig_explosive_volume_ratio_20,criteria_check_sig_explosive_volume_ratio_5,criteria_close,criteria_close_pos,criteria_close_vs_ma60,criteria_indicator,criteria_ma_20,criteria_ma_60,criteria_macd_histogram,criteria_net_flow,criteria_price_change_pct,criteria_rsi_14,criteria_selected_setup,criteria_sig_anchor,criteria_sig_explosive,criteria_signal_formula,criteria_strategy,criteria_threshold_sig_anchor_close_pos_min,criteria_threshold_sig_anchor_close_vs_ma60_min,criteria_threshold_sig_anchor_macd_histogram_min,criteria_threshold_sig_anchor_rsi_14_min,criteria_threshold_sig_anchor_volume_ratio_20_min,criteria_threshold_sig_anchor_volume_ratio_5_min,criteria_threshold_sig_explosive_close_pos_min,criteria_threshold_sig_explosive_price_change_pct_min,criteria_threshold_sig_explosive_volume_ratio_20_min,criteria_threshold_sig_explosive_volume_ratio_5_min,criteria_volume_ratio_20,criteria_volume_ratio_5
1558.TW,伸興,2026-02-23,1,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,101.0,0.8550724958176553,0.011297831702979488,qizhang_signal,97.34999961853028,99.8716667175293,0.30324826133364846,1,0.06203997497943625,61.904756138026585,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.854085445313809,6.055230283571216
1560.TW,中砂,2026-02-23,2,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,467.5,1.0,0.21771217712177116,qizhang_signal,421.275,383.9166666666667,1.1492334896607659,1,0.10000000000000009,62.54180602006689,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.0786234729689244,3.283680002686058
1599.TWO,宏佳騰,2026-02-23,3,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,28.649999618530273,1.0,0.06160257715740247,qizhang_signal,26.914999961853027,26.98750006357829,0.07684469122122292,1,0.09980807898722643,61.599987304691375,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,11.765567279629366,14.131775059446474
1435.TW,中福,2026-02-23,4,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23.0,1.0,0.022108650550939357,qizhang_signal,21.492499923706056,22.502500089009605,0.1974199511745804,1,0.052631560569927904,68.38235500362116,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.382154583974822,3.863176569454387
1438.TW,三地開發,2026-02-23,5,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,34.599998474121094,1.0,0.04104500809241296,qizhang_signal,32.46750011444092,33.235833422342935,0.14527065593294763,1,0.07453408864337407,63.28123882411845,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.3522679327452343,3.8890626127534698
1227.TW,佳格,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,30.25,0.8000005086263021,0.0078294177701006,qizhang_signal,29.189999961853026,30.015000025431316,0.1381006412022847,1,0.027164659298321014,67.74193945337856,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.668606039983727,4.578669142497186
1235.TW,興泰,2026-02-23,6,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,44.349998474121094,0.7719291670570598,-0.021906968140314897,qizhang_signal,41.787499809265135,45.3433334350586,0.32640097623297604,1,0.08302802558818767,67.83920445679632,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,5.359572550462013,4.446406276205207
1459.TW,聯發,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,12.0,0.7499988079059676,0.015443192909824877,qizhang_signal,11.79249997138977,11.817500066757201,0.01705266395274812,1,0.012658195249076298,64.70587575312189,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.2602920832169437,4.9969947297822275
1470.TW,大統新創,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,23.299999237060547,1.0,0.019396205743652972,qizhang_signal,22.904999923706054,22.856666628519694,0.011452308453841174,1,0.015250477668230955,65.6250149011754,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.198209002958343,5.333333333333333
1727.TW,中華化,2026-02-23,7,0.03333333333333333,buy,buy,1.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,46.349998474121094,1.0,0.08149094844194216,qizhang_signal,44.42250003814697,42.857500139872236,-0.17314309450392595,1,0.09964405210432803,53.05555131700304,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,1.7324646732121047,3.9115245435511343
2243.TW,宏旭-KY,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,12.199999809265137,1.0,0.07072330420846074,qizhang_signal,11.582500076293945,11.394166692097981,0.0620403091653626,1,0.02953581574079256,72.50001192094032,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.4735010809955593,3.374281763000596
2008.TW,高興昌,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,30.0,1.0,0.02722137000600111,qizhang_signal,29.38749990463257,29.20499989191691,0.032508723326562475,1,0.006711435169794333,62.820495264402176,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.4868714740788365,3.9921150278293136
2103.TW,台橡,2026-02-23,8,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,17.850000381469727,1.0,0.15877741063899098,qizhang_signal,15.505000066757201,15.404166682561238,0.23949673360446286,1,0.0984615619365985,72.72727272727272,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.1560900711740523,1.8124893505421902
2104.TW,國際中橡,2026-02-23,9,0.03333333333333333,buy,buy,1.0,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12.350000381469727,1.0,0.10308897772118852,qizhang_signal,11.772500038146973,11.195833365122477,-0.02824011744132652,1,0.09777781168619781,52.808989486434456,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.141243797835849,4.031179310195681
2108.TW,南帝,2026-02-23,10,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26.399999618530273,1.0,0.12368316783631927,qizhang_signal,24.155000114440917,23.49416666030884,0.11837558378824536,1,0.09999998410542799,69.67213909269563,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.079884229542271,7.839245618639373
2428.TW,興勤,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,180.0,0.8181818181818182,0.013465959742880118,qizhang_signal,172.725,177.60833333333332,0.8976306155602305,1,0.03746397694524495,53.75,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,1.9439689752858724,3.359429464697491
2450.TW,神腦,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,30.0,1.0,0.037493870885619174,qizhang_signal,28.98500003814697,28.915833473205566,0.06632028886906663,1,0.03806229743907763,75.00004768380677,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.539526917335084,4.777128962568585
2547.TW,日勝生,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,11.100000381469727,0.5000011920911902,0.028889271799187988,qizhang_signal,10.849999952316285,10.788333288828532,0.009883061797666442,1,0.027777794947839718,56.00001831053291,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.6775691483816186,4.319395111094113
2597.TW,潤弘,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,178.0,0.625,0.050302404484437346,qizhang_signal,171.125,169.475,0.3424629304716491,1,0.04398826979472137,59.57446808510638,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.827809504995288,3.3352577667189127
2609.TW,陽明,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,55.5,0.7368423166035569,0.03858029652691375,qizhang_signal,53.8,53.43833325703939,0.05877526227688101,1,0.04127581227824395,57.31708394992693,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,2.8971350914469625,4.470713617924842
2727.TW,王品,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,221.0,1.0,0.02409638554216853,qizhang_signal,216.75,215.8,0.3032726795037086,1,0.025522041763341052,57.89473684210526,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.8620249306336976,4.693229380300928
2515.TW,中工,2026-02-23,11,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,17.350000381469727,1.0,0.2654996654743287,qizhang_signal,14.075,13.709999974568685,0.32731875814393024,1,0.09810127671034996,78.62069736621427,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.2100077907479765,2.697596138512434
2755.TWO,揚秦,2026-02-23,12,0.03333333333333333,buy,buy,1.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,122.5,1.0,0.027756414738166812,qizhang_signal,115.975,119.19166666666666,0.6995636135379866,1,0.056034482758620774,65.0,sig_explosive,False,True,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.739234842940263,5.087993216449095
2801.TW,彰銀,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,21.649999618530273,0.7647050903746255,0.056913853684120275,qizhang_signal,20.482499980926512,20.48416674931844,0.10530266539428447,1,0.043373475591820476,84.99995708469669,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.8816678259602617,4.355136906822439
2816.TW,旺旺保,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,30.25,0.9500007629394531,0.03474815472161574,qizhang_signal,28.870000076293945,29.23416665395101,0.11015111296927688,1,0.04852684922075379,67.60561866814527,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.1954628320150786,3.162682096105708
2834.TW,臺企銀,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,16.100000381469727,0.7777773068282965,0.01689565855091235,qizhang_signal,15.612499952316284,15.83249986966451,0.06599530347781869,1,0.018987353614766667,63.33334392970789,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.0275676037332433,3.6669925252001
2836.TW,高雄銀,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,12.649999618530273,0.8333328035146055,0.03851676094251921,qizhang_signal,12.135000085830688,12.180833371480306,0.060478829649642116,1,0.02016129094281638,75.00001986824967,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,4.295535290594014,3.3562823197756515
2838.TW,聯邦銀,2026-02-23,,,buy,buy,0.9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,20.399999618530273,0.8888884179384096,0.06620207596922789,qizhang_signal,18.789999961853027,19.133333237965903,0.18674662241970214,1,0.04884312690624526,90.19601536647977,sig_anchor,True,False,sig_explosive | sig_anchor,qizhang_selection_strategy,0.5,-0.03,0.0,45.0,1.7,3.0,0.6,0.05,1.7,1.45,3.7235623415725367,3.70070534791303
