symbol,stock_name,selection_date,entry_date,entry_close,target_date,evaluation_date,evaluation_close,return_pct,holding_period_label,selected,rank,weight,status
1558.TW,伸興,2026-02-23,2026-02-23,101.0,2026-03-15,2026-03-16,94.19999694824219,-0.067327,20d,True,1,0.03333333333333333,ok
1560.TW,中砂,2026-02-23,2026-02-23,467.5,2026-03-15,2026-03-16,453.5,-0.029947,20d,True,2,0.03333333333333333,ok
1599.TWO,宏佳騰,2026-02-23,2026-02-23,28.649999618530273,2026-03-15,2026-03-16,26.049999237060547,-0.09075,20d,True,3,0.03333333333333333,ok
1435.TW,中福,2026-02-23,2026-02-23,23.0,2026-03-15,2026-03-16,19.0,-0.173913,20d,True,4,0.03333333333333333,ok
1438.TW,三地開發,2026-02-23,2026-02-23,34.599998474121094,2026-03-15,2026-03-16,29.700000762939453,-0.141618,20d,True,5,0.03333333333333333,ok
1235.TW,興泰,2026-02-23,2026-02-23,44.349998474121094,2026-03-15,2026-03-16,35.95000076293945,-0.189402,20d,True,6,0.03333333333333333,ok
1727.TW,中華化,2026-02-23,2026-02-23,46.349998474121094,2026-03-15,2026-03-16,55.29999923706055,0.193096,20d,True,7,0.03333333333333333,ok
2103.TW,台橡,2026-02-23,2026-02-23,17.850000381469727,2026-03-15,2026-03-16,20.700000762939453,0.159664,20d,True,8,0.03333333333333333,ok
2104.TW,國際中橡,2026-02-23,2026-02-23,12.350000381469727,2026-03-15,2026-03-16,12.25,-0.008097,20d,True,9,0.03333333333333333,ok
2108.TW,南帝,2026-02-23,2026-02-23,26.399999618530273,2026-03-15,2026-03-16,25.399999618530273,-0.037879,20d,True,10,0.03333333333333333,ok
2515.TW,中工,2026-02-23,2026-02-23,17.350000381469727,2026-03-15,2026-03-16,15.100000381469727,-0.129683,20d,True,11,0.03333333333333333,ok
2755.TWO,揚秦,2026-02-23,2026-02-23,122.5,2026-03-15,2026-03-16,150.0,0.22449,20d,True,12,0.03333333333333333,ok
2880.TW,華南金,2026-02-23,2026-02-23,36.70000076293945,2026-03-15,2026-03-16,33.5,-0.087193,20d,True,13,0.03333333333333333,ok
2883.TW,凱基金,2026-02-23,2026-02-23,20.549999237060547,2026-03-15,2026-03-16,20.5,-0.002433,20d,True,14,0.03333333333333333,ok
2887.TW,台新新光金,2026-02-23,2026-02-23,25.299999237060547,2026-03-15,2026-03-16,24.799999237060547,-0.019763,20d,True,15,0.03333333333333333,ok
2923.TW,鼎固-KY,2026-02-23,2026-02-23,24.899999618530273,2026-03-15,2026-03-16,17.75,-0.287149,20d,True,16,0.03333333333333333,ok
3090.TW,日電貿,2026-02-23,2026-02-23,98.0999984741211,2026-03-15,2026-03-16,94.19999694824219,-0.039755,20d,True,17,0.03333333333333333,ok
3062.TW,建漢,2026-02-23,2026-02-23,26.75,2026-03-15,2026-03-16,23.899999618530273,-0.106542,20d,True,18,0.03333333333333333,ok
3349.TWO,寶德,2026-02-23,2026-02-23,30.549999237060547,2026-03-15,2026-03-16,27.299999237060547,-0.106383,20d,True,19,0.03333333333333333,ok
3026.TW,禾伸堂,2026-02-23,2026-02-23,114.5,2026-03-15,2026-03-16,108.0,-0.056769,20d,True,20,0.03333333333333333,ok
3030.TW,德律,2026-02-23,2026-02-23,196.5,2026-03-15,2026-03-16,250.0,0.272265,20d,True,21,0.03333333333333333,ok
3390.TWO,旭軟,2026-02-23,2026-02-23,24.950000762939453,2026-03-15,2026-03-16,21.649999618530273,-0.132265,20d,True,22,0.03333333333333333,ok
3413.TW,京鼎,2026-02-23,2026-02-23,312.5,2026-03-15,2026-03-16,308.0,-0.0144,20d,True,23,0.03333333333333333,ok
3430.TWO,奇鈦科,2026-02-23,2026-02-23,73.69999694824219,2026-03-15,2026-03-16,73.69999694824219,0.0,20d,True,24,0.03333333333333333,ok
3450.TW,聯鈞,2026-02-23,2026-02-23,263.5,2026-03-15,2026-03-16,289.5,0.098672,20d,True,25,0.03333333333333333,ok
3583.TW,辛耘,2026-02-23,2026-02-23,345.5,2026-03-15,2026-03-16,405.5,0.173661,20d,True,26,0.03333333333333333,ok
3595.TWO,山太士,2026-02-23,2026-02-23,694.0,2026-03-15,2026-03-16,1435.0,1.067723,20d,True,27,0.03333333333333333,ok
3603.TWO,建祥國際,2026-02-23,2026-02-23,8.050000190734863,2026-03-15,2026-03-16,6.460000038146973,-0.197516,20d,True,28,0.03333333333333333,ok
3675.TWO,德微,2026-02-23,2026-02-23,161.0,2026-03-15,2026-03-16,210.0,0.304348,20d,True,29,0.03333333333333333,ok
3689.TWO,湧德,2026-02-23,2026-02-23,118.5,2026-03-15,2026-03-16,103.5,-0.126582,20d,True,30,0.03333333333333333,ok
1227.TW,佳格,2026-02-23,2026-02-23,30.25,2026-03-15,2026-03-16,30.299999237060547,0.001653,20d,False,,,ok
1459.TW,聯發,2026-02-23,2026-02-23,12.0,2026-03-15,2026-03-16,11.800000190734863,-0.016667,20d,False,,,ok
1470.TW,大統新創,2026-02-23,2026-02-23,23.299999237060547,2026-03-15,2026-03-16,21.25,-0.087983,20d,False,,,ok
2243.TW,宏旭-KY,2026-02-23,2026-02-23,12.199999809265137,2026-03-15,2026-03-16,17.149999618530273,0.405738,20d,False,,,ok
2008.TW,高興昌,2026-02-23,2026-02-23,30.0,2026-03-15,2026-03-16,28.0,-0.066667,20d,False,,,ok
2428.TW,興勤,2026-02-23,2026-02-23,180.0,2026-03-15,2026-03-16,160.0,-0.111111,20d,False,,,ok
2450.TW,神腦,2026-02-23,2026-02-23,30.0,2026-03-15,2026-03-16,29.5,-0.016667,20d,False,,,ok
2547.TW,日勝生,2026-02-23,2026-02-23,11.100000381469727,2026-03-15,2026-03-16,11.149999618530273,0.004504,20d,False,,,ok
2597.TW,潤弘,2026-02-23,2026-02-23,178.0,2026-03-15,2026-03-16,162.0,-0.089888,20d,False,,,ok
2609.TW,陽明,2026-02-23,2026-02-23,55.5,2026-03-15,2026-03-16,59.29999923706055,0.068468,20d,False,,,ok
2727.TW,王品,2026-02-23,2026-02-23,221.0,2026-03-15,2026-03-16,225.5,0.020362,20d,False,,,ok
2801.TW,彰銀,2026-02-23,2026-02-23,21.649999618530273,2026-03-15,2026-03-16,20.600000381469727,-0.048499,20d,False,,,ok
2816.TW,旺旺保,2026-02-23,2026-02-23,30.25,2026-03-15,2026-03-16,30.200000762939453,-0.001653,20d,False,,,ok
2834.TW,臺企銀,2026-02-23,2026-02-23,16.100000381469727,2026-03-15,2026-03-16,15.0,-0.068323,20d,False,,,ok
2836.TW,高雄銀,2026-02-23,2026-02-23,12.649999618530273,2026-03-15,2026-03-16,12.100000381469727,-0.043478,20d,False,,,ok
2838.TW,聯邦銀,2026-02-23,2026-02-23,20.399999618530273,2026-03-15,2026-03-16,20.149999618530273,-0.012255,20d,False,,,ok
2910.TW,統領,2026-02-23,2026-02-23,22.0,2026-03-15,2026-03-16,20.549999237060547,-0.065909,20d,False,,,ok
3184.TWO,微邦,2026-02-23,2026-02-23,12.050000190734863,2026-03-15,2026-03-16,13.899999618530273,0.153527,20d,False,,,ok
3205.TWO,佰研,2026-02-23,2026-02-23,52.0,2026-03-15,2026-03-16,50.70000076293945,-0.025,20d,False,,,ok
3206.TWO,志豐,2026-02-23,2026-02-23,33.150001525878906,2026-03-15,2026-03-16,39.099998474121094,0.179487,20d,False,,,ok
3679.TW,新至陞,2026-02-23,2026-02-23,118.5,2026-03-15,2026-03-16,118.5,0.0,20d,False,,,ok
4123.TWO,晟德,2026-02-23,2026-02-23,42.400001525878906,2026-03-15,2026-03-16,44.400001525878906,0.04717,20d,False,,,ok
4169.TWO,泰宗,2026-02-23,2026-02-23,188.0,2026-03-15,2026-03-16,220.0,0.170213,20d,False,,,ok
4536.TW,拓凱,2026-02-23,2026-02-23,168.0,2026-03-15,2026-03-16,158.0,-0.059524,20d,False,,,ok
4564.TW,元翎,2026-02-23,2026-02-23,18.049999237060547,2026-03-15,2026-03-16,21.350000381469727,0.182826,20d,False,,,ok
4573.TWO,高明鐵,2026-02-23,2026-02-23,94.80000305175781,2026-03-15,2026-03-16,279.0,1.943038,20d,False,,,ok
4722.TW,國精化,2026-02-23,2026-02-23,179.5,2026-03-15,2026-03-16,195.0,0.086351,20d,False,,,ok
4908.TWO,前鼎,2026-02-23,2026-02-23,83.5,2026-03-15,2026-03-16,104.5,0.251497,20d,False,,,ok
4919.TW,新唐,2026-02-23,2026-02-23,66.30000305175781,2026-03-15,2026-03-16,84.5,0.27451,20d,False,,,ok
4925.TWO,智微,2026-02-23,2026-02-23,109.0,2026-03-15,2026-03-16,91.9000015258789,-0.156881,20d,False,,,ok
4946.TWO,辣椒,2026-02-23,2026-02-23,121.0,2026-03-15,2026-03-16,144.0,0.190083,20d,False,,,ok
4749.TWO,新應材,2026-02-23,2026-02-23,878.0,2026-03-15,2026-03-16,933.0,0.062642,20d,False,,,ok
4755.TW,三福化,2026-02-23,2026-02-23,134.5,2026-03-15,2026-03-16,153.0,0.137546,20d,False,,,ok
4806.TWO,桂田文創,2026-02-23,2026-02-23,12.850000381469727,2026-03-15,2026-03-16,12.100000381469727,-0.058366,20d,False,,,ok
5225.TW,東科-KY,2026-02-23,2026-02-23,103.5,2026-03-15,2026-03-16,93.4000015258789,-0.097585,20d,False,,,ok
5471.TW,松翰,2026-02-23,2026-02-23,41.150001525878906,2026-03-15,2026-03-16,41.599998474121094,0.010936,20d,False,,,ok
