symbol,timestamp,rank,weight,reason
1215.TW,2026-03-12,1,0.05,buy
1219.TW,2026-03-12,2,0.05,buy
1220.TW,2026-03-12,3,0.05,buy
1225.TW,2026-03-12,4,0.05,buy
1232.TW,2026-03-12,5,0.05,buy
1236.TW,2026-03-12,6,0.05,buy
1256.TW,2026-03-12,7,0.05,buy
1304.TW,2026-03-12,8,0.05,buy
1305.TW,2026-03-12,9,0.05,buy
1307.TW,2026-03-12,10,0.05,buy
1308.TW,2026-03-12,11,0.05,buy
1309.TW,2026-03-12,12,0.05,buy
1310.TW,2026-03-12,13,0.05,buy
1312.TW,2026-03-12,14,0.05,buy
1313.TW,2026-03-12,15,0.05,buy
1314.TW,2026-03-12,16,0.05,buy
1326.TW,2026-03-12,17,0.05,buy
1337.TW,2026-03-12,18,0.05,buy
1402.TW,2026-03-12,19,0.05,buy
1414.TW,2026-03-12,20,0.05,buy
