symbol,timestamp,rank,weight,reason
1218.TW,2026-03-13,1,0.03333333333333333,buy
1409.TW,2026-03-13,2,0.03333333333333333,buy
1456.TW,2026-03-13,3,0.03333333333333333,buy
2023.TW,2026-03-13,4,0.03333333333333333,buy
2332.TW,2026-03-13,5,0.03333333333333333,buy
2353.TW,2026-03-13,6,0.03333333333333333,buy
2451.TW,2026-03-13,7,0.03333333333333333,buy
2471.TW,2026-03-13,8,0.03333333333333333,buy
2477.TW,2026-03-13,9,0.03333333333333333,buy
2488.TW,2026-03-13,10,0.03333333333333333,buy
2739.TW,2026-03-13,11,0.03333333333333333,buy
2903.TW,2026-03-13,12,0.03333333333333333,buy
2911.TW,2026-03-13,13,0.03333333333333333,buy
2939.TW,2026-03-13,14,0.03333333333333333,buy
3025.TW,2026-03-13,15,0.03333333333333333,buy
3164.TW,2026-03-13,16,0.03333333333333333,buy
3663.TWO,2026-03-13,17,0.03333333333333333,buy
3664.TWO,2026-03-13,18,0.03333333333333333,buy
4129.TWO,2026-03-13,19,0.03333333333333333,buy
4148.TW,2026-03-13,20,0.03333333333333333,buy
4502.TWO,2026-03-13,21,0.03333333333333333,buy
4532.TW,2026-03-13,22,0.03333333333333333,buy
4744.TWO,2026-03-13,23,0.03333333333333333,buy
4770.TW,2026-03-13,24,0.03333333333333333,buy
4772.TWO,2026-03-13,25,0.03333333333333333,buy
4938.TW,2026-03-13,26,0.03333333333333333,buy
4942.TW,2026-03-13,27,0.03333333333333333,buy
5013.TWO,2026-03-13,28,0.03333333333333333,buy
5351.TWO,2026-03-13,29,0.03333333333333333,buy
5514.TWO,2026-03-13,30,0.03333333333333333,buy
