"Name","Status","ExitCode","StartedAt","EndedAt","LogPath"
"case01_a1","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:18:41","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case01_a1.log"
"case01_win_a","SUCCESS","0","2026/3/19 下午 01:11:51","2026/3/19 下午 01:39:48","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case01_win_a.log"
"case02_b1","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:18:41","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case02_b1.log"
"case02_win_b","SUCCESS","0","2026/3/19 下午 01:11:51","2026/3/19 下午 01:40:49","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case02_win_b.log"
"case03_c1","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:19:05","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case03_c1.log"
"case03_win_c","SUCCESS","0","2026/3/19 下午 01:11:51","2026/3/19 下午 01:41:06","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case03_win_c.log"
"case04_a2","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:18:43","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case04_a2.log"
"case04_ret_a","SUCCESS","0","2026/3/19 下午 01:11:52","2026/3/19 下午 01:41:07","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case04_ret_a.log"
"case05_b2","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:20:25","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case05_b2.log"
"case05_ret_b","SUCCESS","0","2026/3/19 下午 01:11:52","2026/3/19 下午 01:41:03","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case05_ret_b.log"
"case06_c2","SUCCESS","0","2026/3/19 下午 02:05:30","2026/3/19 下午 02:21:21","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case06_c2.log"
"case06_ret_c","SUCCESS","0","2026/3/19 下午 01:11:52","2026/3/19 下午 01:41:16","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_131151\case06_ret_c.log"
"case07_a3","SUCCESS","0","2026/3/19 下午 02:18:41","2026/3/19 下午 02:31:28","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case07_a3.log"
"case08_b3","FAILED","1","2026/3/19 下午 02:18:41","2026/3/19 下午 02:18:43","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case08_b3.log"
"case09_c3","SUCCESS","0","2026/3/19 下午 02:18:43","2026/3/19 下午 02:31:05","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case09_c3.log"
"case10_a4","SUCCESS","0","2026/3/19 下午 02:18:44","2026/3/19 下午 02:31:57","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case10_a4.log"
"case11_b4","SUCCESS","0","2026/3/19 下午 02:19:06","2026/3/19 下午 02:31:58","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case11_b4.log"
"case12_c4","SUCCESS","0","2026/3/19 下午 02:20:26","2026/3/19 下午 02:33:26","C:\Users\JIANG\Desktop\AutoPrograming\scripts\parallel_status\run_20260319_140530\case12_c4.log"
